Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
MainMenu.Editor.FileNameValidation.AppReserved,'{1}' is reserved and cannot be used as {0}.,“{1}”是保留关键词，不能用作 {0}。,「{1}」已保留，不能用作 {0}。,„{1}“ ist reserviert und kann nicht als {0} verwendet werden.,'{1}' está reservado y no se puede utilizar como {0}.,'{1}' est réservé et ne peut pas être utilisé comme {0}.,"""{1}"" le van foglalva, és nem használható {0} néven.",「{1}」は予約されているため、{0} として使用できません。,'{1}'은(는) 예약되어 있어 {0}으로 사용할 수 없습니다.,'{1}' зарезервирован и не может использоваться как {0}.,'{1}' é reservado e não pode ser usado como {0}.,'{1}' зарезервовано і не може використовуватися як {0}.,'{1}' è riservato e non può essere utilizzato come {0}.,'{1}' ถูกสงวนไว้และไม่สามารถใช้เป็น {0},'{1}' ayrılmıştır ve {0} olarak kullanılamaz.,'{1}' är reserverad och kan inte användas som {0}.,'{1}' je rezervovaný a nemôže byť použitý ako {0}.
MainMenu.Editor.FileNameValidation.EndsWithDot,{0} cannot end with a dot.,{0} 不能以点结尾。,{0} 不能以點結尾。,{0} darf nicht mit einem Punkt enden.,{0} no puede terminar con un punto.,{0} ne peut pas se terminer par un point.,A(z) {0} nem végződhet ponttal.,{0} をドットで終わらせることはできません。,{0}은(는) 점으로 끝날 수 없습니다.,{0} не может заканчиваться точкой.,{0} não pode terminar com ponto.,{0} не може закінчуватися крапкою.,{0} non può terminare con un punto.,{0} ไม่สามารถลงท้ายด้วยจุดได้,{0} noktayla bitemez.,{0} kan inte sluta med en punkt.,{0} nemôže končiť bodkou.
MainMenu.Editor.FileNameValidation.DuplicateInList,A {0} with this name already exists in the list.,列表中已存在同名的 {0}。,清單中已存在具有此名稱的 {0}。,Ein {0} mit diesem Namen ist bereits in der Liste vorhanden.,Ya existe un {0} con este nombre en la lista.,Un {0} portant ce nom existe déjà dans la liste.,Az ilyen nevű {0} már létezik a listában.,この名前の {0} はリスト内にすでに存在します。,이 이름을 가진 {0}이(가) 이미 목록에 있습니다.,{0} с таким именем уже существует в списке.,Já existe um {0} com este nome na lista.,{0} із такою назвою вже існує в списку.,Nell'elenco esiste già un {0} con questo nome.,มี {0} ที่มีชื่อนี้อยู่แล้วในรายการ,Bu adda bir {0} zaten listede mevcut.,En {0} med detta namn finns redan i listan.,{0} s týmto názvom už v zozname existuje.
MainMenu.Editor.Confirmation.Label.Character,Character,角色,角色,Charakter,Personaje,Personnage,Karakter,キャラクター,성격,Характер,Personagem,персонаж,Carattere,อักขระ,Karakter,Karaktär,Charakter
MainMenu.Editor.Confirmation.Label.Scene,Scene,场景,場景,Szene,Escena,Scène,Színhely,シーン,장면,Сцена,Cena,Сцена,Scena,ฉาก,Sahne,Scen,Scéna
MainMenu.Editor.Confirmation.Label.SceneList,Scene list,场景列表,場景列表,Szenenliste,Lista de escenas,Liste des scènes,Jelenetek listája,シーンリスト,장면 목록,Список сцен,Lista de cenas,Список сцен,Elenco delle scene,รายการฉาก,Sahne listesi,Scenlista,Zoznam scén
MainMenu.Editor.DeleteConfirmation,"Are you sure you want to delete {0} ""{1}""? This action cannot be undone.",您确定要删除 {0}“{1}”吗？此操作无法撤消。,您確定要刪除 {0}“{1}”嗎？此操作無法撤銷。,"Sind Sie sicher, dass Sie {0} „{1}“ löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden.","¿Está seguro de que desea eliminar {0} ""{1}""? Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer {0} ""{1}"" ? Cette action ne peut pas être annulée.","Biztosan törli a következőt: {0} ""{1}""? Ez a művelet nem vonható vissza.",{0}「{1}」を削除してもよろしいですか?この操作は元に戻すことができません。,"{0} ""{1}""을(를) 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.","Вы уверены, что хотите удалить {0} ""{1}""? Это действие невозможно отменить.","Tem certeza de que deseja excluir {0} ""{1}""? Esta ação não pode ser desfeita.","Ви впевнені, що бажаєте видалити {0} ""{1}""? Цю дію не можна скасувати.","Sei sicuro di voler eliminare {0} ""{1}""? Questa azione non può essere annullata.","คุณแน่ใจหรือไม่ว่าต้องการลบ {0} ""{1}"" การดำเนินการนี้ไม่สามารถยกเลิกได้","{0} ""{1}"" dosyasını silmek istediğinizden emin misiniz? Bu eylem geri alınamaz.","Är du säker på att du vill ta bort {0} ""{1}""? Denna åtgärd kan inte ångras.",Naozaj chcete odstrániť {0} „{1}“? Túto akciu nie je možné vrátiť späť.
MainMenu.Editor.OverwriteExistingConfirmation,"{0} ""{1}"" already exist. Are you sure you want to overwrite {0} ""{1}""? This action cannot be undone.",{0}“{1}”已存在。您确定要覆盖 {0}“{1}”吗？此操作无法撤消。,{0}“{1}”已存在。您確定要覆蓋 {0}“{1}”嗎？此操作無法撤銷。,"{0} „{1}“ existiert bereits. Sind Sie sicher, dass Sie {0} „{1}“ überschreiben möchten? Diese Aktion kann nicht rückgängig gemacht werden.","{0} ""{1}"" ya existe. ¿Está seguro de que desea sobrescribir {0} ""{1}""? Esta acción no se puede deshacer.","{0} ""{1}"" existe déjà. Êtes-vous sûr de vouloir remplacer {0} ""{1}"" ? Cette action ne peut pas être annulée.","{0} ""{1}"" már létezik. Biztosan felül szeretné írni a következőt: {0} ""{1}""? Ez a művelet nem vonható vissza.",{0}「{1}」はすでに存在します。 {0}「{1}」を上書きしてもよろしいですか?この操作は元に戻すことができません。,"{0} ""{1}""이(가) 이미 존재합니다. {0} ""{1}""을(를) 덮어쓰시겠습니까? 이 작업은 취소할 수 없습니다.","{0} ""{1}"" уже существует. Вы уверены, что хотите перезаписать {0} ""{1}""? Это действие невозможно отменить.","{0} ""{1}"" já existe. Tem certeza de que deseja substituir {0} ""{1}""? Esta ação não pode ser desfeita.","{0} ""{1}"" уже існує. Ви впевнені, що бажаєте перезаписати {0} ""{1}""? Цю дію не можна скасувати.","{0} ""{1}"" esiste già. Sei sicuro di voler sovrascrivere {0} ""{1}""? Questa azione non può essere annullata.","{0} ""{1}"" มีอยู่แล้ว คุณแน่ใจหรือไม่ว่าต้องการเขียนทับ {0} ""{1}"" การดำเนินการนี้ไม่สามารถยกเลิกได้","{0} ""{1}"" zaten mevcut. {0} ""{1}"" öğesinin üzerine yazmak istediğinizden emin misiniz? Bu eylem geri alınamaz.","{0} ""{1}"" finns redan. Är du säker på att du vill skriva över {0} ""{1}""? Denna åtgärd kan inte ångras.",{0} „{1}“ už existuje. Naozaj chcete prepísať {0} „{1}“? Túto akciu nie je možné vrátiť späť.
MainMenu.Editor.OverwriteSelectedConfirmation,"A {0} ""{1}"" is selected. Overwrite it or Create a new entry?",选择了 {0}“{1}”。覆盖它还是创建一个新条目？,選擇了 {0}“{1}”。覆蓋它還是建立一個新條目？,Ein {0} „{1}“ ist ausgewählt. Überschreiben oder einen neuen Eintrag erstellen?,"Se selecciona un {0} ""{1}"". ¿Sobrescribirlo o crear una nueva entrada?","Un {0} ""{1}"" est sélectionné. L'écraser ou créer une nouvelle entrée ?","Egy {0} ""{1}"" van kiválasztva. Felülírja vagy új bejegyzést hoz létre?",{0}「{1}」が選択されています。上書きしますか、それとも新しいエントリを作成しますか?,"{0} ""{1}""이(가) 선택되었습니다. 덮어쓰시겠습니까, 아니면 새 항목을 만드시겠습니까?","Выбран {0} ""{1}"". Перезаписать или создать новую запись?","Um {0} ""{1}"" está selecionado. Substituir ou criar uma nova entrada?","Вибрано {0} ""{1}"". Перезаписати чи створити новий запис?","È selezionato un {0} ""{1}"". Sovrascriverlo o creare una nuova voce?","เลือก {0} ""{1}"" แล้ว เขียนทับหรือสร้างรายการใหม่?","Bir {0} ""{1}"" seçildi. Üzerine yazmak mı yoksa yeni bir giriş mi oluşturmak istiyorsunuz?","Ett {0} ""{1}"" har valts. Skriv över den eller skapa en ny post?",Je vybratá položka {0} „{1}“. Prepísať ho alebo vytvoriť nový záznam?
MainMenu.Editor.OverwriteConfirmation.Overwrite,Overwrite,覆盖,覆蓋,Überschreiben,Exagerar,Écraser,Átír,上書き,덮어쓰기,Перезаписать,Substituir,Перезаписати,Sovrascrivi,เขียนทับ,Üzerine yaz,Skriva över,Prepísať
MainMenu.Editor.OverwriteConfirmation.CreateNew,Create New,新建,新建,Neu erstellen,Crear nuevo,Créer nouveau,Új létrehozása,新規作成,새로 만들기,Создать новый,Criar novo,Створити новий,Crea nuovo,สร้างใหม่,Yeni Oluştur,Skapa nytt,Vytvoriť nový
MainMenu.Editor.UnsavedChangeConfirmation,"{0} ""{1}"" has unsaved changes. Apply before continuing?",{0}“{1}”有未保存的更改。在继续之前应用更改？,{0}「{1}」有未儲存的變更。在繼續之前應用變更？,"{0} „{1}“ hat nicht gespeicherte Änderungen. Bewerben Sie sich, bevor Sie fortfahren?","{0} ""{1}"" tiene cambios sin guardar. ¿Aplicar antes de continuar?","{0} ""{1}"" comporte des modifications non enregistrées. Postuler avant de continuer ?","{0} ""{1}"" nem mentett módosításokat tartalmaz. Jelentkezni a folytatás előtt?",{0}「{1}」には未保存の変更があります。続行する前に申請しますか?,"{0} ""{1}""에 저장되지 않은 변경사항이 있습니다. 계속하기 전에 신청하시겠습니까?","{0} ""{1}"" содержит несохраненные изменения. Подать заявку, прежде чем продолжить?","{0} ""{1}"" tem alterações não salvas. Aplicar antes de continuar?","{0} ""{1}"" має незбережені зміни. Застосувати, перш ніж продовжити?","{0} ""{1}"" presenta modifiche non salvate. Applicare prima di continuare?","{0} ""{1}"" มีการเปลี่ยนแปลงที่ยังไม่ได้บันทึก สมัครก่อนดำเนินการต่อ?","{0} ""{1}"" kaydedilmemiş değişiklikler içeriyor. Devam etmeden önce başvurulsun mu?","{0} ""{1}"" har osparade ändringar. Ansök innan du fortsätter?",{0} „{1}“ obsahuje neuložené zmeny. Požiadať pred pokračovaním?
MainMenu.Editor.UnsavedChangeConfirmation.Apply,Apply,应用,應用,Anwenden,Aplicar,Appliquer,Alkalmazni,適用する,적용하다,Применять,Aplicar,Застосувати,Fare domanda a,นำมาใช้,Uygula,Tillämpas,Použiť
MainMenu.Editor.UnsavedChangeConfirmation.Discard,Discard,丢弃,丟棄,Verwerfen,Desechar,Jeter,Eldobni,破棄,버리다,Отказаться,Descartar,Відкинути,Scartare,ทิ้ง,At,Kassera,Zahodiť
MainMenu.Editor.UnsavedNewConfirmation,This {0} has not been saved. Save before continuing?,此{0}尚未保存。在继续之前保存吗？,此 {0} 尚未儲存。繼續之前儲存嗎？,Dieses {0} wurde nicht gespeichert. Vor dem Fortfahren speichern?,Este {0} no se ha guardado. ¿Guardar antes de continuar?,Ce {0} n'a pas été enregistré. Enregistrer avant de continuer ?,Ez a(z) {0} nincs elmentve. Menti a folytatás előtt?,この {0} は保存されていません。続行する前に保存しますか?,이 {0}은(는) 저장되지 않았습니다. 계속하기 전에 저장하시겠습니까?,"Этот {0} не был сохранен. Сохранить, прежде чем продолжить?",Este {0} não foi salvo. Salvar antes de continuar?,Цей {0} не збережено. Зберегти перед продовженням?,Questo {0} non è stato salvato. Salvare prima di continuare?,{0} นี้ไม่ได้รับการบันทึก บันทึกก่อนดำเนินการต่อไหม,Bu {0} kaydedilmedi. Devam etmeden önce kaydedilsin mi?,Denna {0} har inte sparats. Spara innan du fortsätter?,Toto {0} nebolo uložené. Uložiť pred pokračovaním?
MainMenu.Editor.UnsavedNewConfirmation.Save,Save,保存,儲存,Speichern,Ahorrar,Sauvegarder,Megtakarítás,保存,구하다,Сохранять,Salvar,зберегти,Salva,บันทึก,Kaydetmek,Spara,Uložiť
MainMenu.Editor.Layers,Layers,图层,層數,Schichten,capas,Calques,Rétegek,レイヤー,레이어,Слои,Camadas,Шари,Strati,เลเยอร์,Katmanlar,Lager,Vrstvy
MainMenu.Editor.LayerProperties,Properties,属性,特性,Eigenschaften,Propiedades,Propriétés,Tulajdonságok,プロパティ,속성,Характеристики,Propriedades,Властивості,Proprietà,คุณสมบัติ,Özellikler,Egenskaper,Vlastnosti
MainMenu.Editor.ModelProperties,Model Properties,模型属性,模型屬性,Modelleigenschaften,Propiedades del modelo,Propriétés du modèle,Modell tulajdonságai,モデルのプロパティ,모델 속성,Свойства модели,Propriedades do modelo,Властивості моделі,Proprietà del modello,คุณสมบัติของโมเดล,Model Özellikleri,Modellegenskaper,Vlastnosti modelu
MainMenu.Editor.TextProperty.Text,Text,文本,文字,Text,Texto,Texte,Szöveg,文章,텍스트,Текст,Texto,текст,Testo,ข้อความ,Metin,Text,Text
MainMenu.Editor.TextProperty.Font,Font,字体,字體,Schriftart,Fuente,Fonte,Betűtípus,フォント,세례반,Шрифт,Fonte,Шрифт,Font,แบบอักษร,Yazı tipi,Font,Písmo
MainMenu.Editor.TextProperty.Size,Size,尺寸,尺寸,Größe,Tamaño,Taille,Méret,サイズ,크기,Размер,Tamanho,Розмір,Misurare,ขนาด,Boyut,Storlek,Veľkosť
MainMenu.Editor.TextProperty.PositionX,Position X,位置 X,位置 X,Position X,Posición X,Poste X,X pozíció,位置X,위치 X,Позиция X,Posição X,Позиція X,Posizione X,ตำแหน่ง X,Konum X,Position X,Pozícia X
MainMenu.Editor.TextProperty.PositionY,Position Y,位置 Y,位置 Y,Position Y,Posición Y,Poste Y,Y pozíció,位置Y,위치 Y,Позиция Y,Posição Y,Позиція Y,Posizione Y,ตำแหน่ง Y,Y Konumu,Position Y,Pozícia Y
MainMenu.Editor.TextProperty.Rotation,Rotation,旋转,旋轉,Drehung,Rotación,Rotation,Forgás,回転,회전,Вращение,Rotação,Обертання,Rotazione,การหมุน,Döndürme,Rotation,Rotácia
MainMenu.Editor.TextProperty.CharacterSpacing,Character Spacing,字符间距,字元間距,Zeichenabstand,Espaciado de caracteres,Espacement des caractères,Karaktertávolság,文字間隔,문자 간격,Расстояние между символами,Espaçamento de caracteres,Інтервал між символами,Spaziatura caratteri,การเว้นวรรคอักขระ,Karakter Aralığı,Teckenavstånd,Rozstup znakov
MainMenu.Editor.TextProperty.LineSpacing,Line Spacing,行距,行距,Zeilenabstand,Interlineado,Espacement des lignes,Sorköz,行間,줄 간격,Межстрочный интервал,Espaçamento entre linhas,Міжрядковий інтервал,Interlinea,ระยะห่างระหว่างบรรทัด,Satır Aralığı,Linjeavstånd,Riadkovanie
MainMenu.Editor.TextProperty.Outline,Outline,边缘线,大綱,Gliederung,Describir,Contour,Vázlat,概要,개요,Контур,Contorno,Контур,Contorno,โครงร่าง,Taslak,Skissera,Obrys
MainMenu.Editor.TextProperty.OutlineThickness,Thickness,粗细,厚度,Dicke,Espesor,Épaisseur,Vastagság,厚さ,두께,Толщина,Grossura,Товщина,Spessore,ความหนา,Kalınlık,Tjocklek,Hrúbka
MainMenu.Editor.TextProperty.Underlay,Underlay,阴影,底層,Unterlage,Subyacer,Thibaude,Alátét,下敷き,밑받침,Подложка,Subcamada,Підкладка,Sottofondo,รองพื้น,Altlık,Underlag,Podklad
MainMenu.Editor.TextProperty.UnderlayDilate,Dilate,扩张,擴張,Erweitern,Dilatar,Dilater,Tágul,拡張する,넓히다,Расширить,Dilatar,Розширити,Dilatare,ขยาย,Genişlet,Utvidga,Dilatovať
MainMenu.Editor.TextProperty.UnderlayOffsetX,Offset X,偏移 X,偏移 X,Versatz X,Desplazamiento X,Décalage X,X eltolás,オフセット X,오프셋 X,Смещение X,Deslocamento X,Зсув X,Scostamento X,ออฟเซ็ต X,Ofset X,Offset X,Posun X
MainMenu.Editor.TextProperty.UnderlayOffsetY,Offset Y,偏移 Y,偏移 Y,Y-Versatz,Compensación Y,Décalage Y,Eltolás Y,オフセットY,오프셋 Y,Смещение Y,Deslocamento Y,Зсув Y,Scostamento Y,ออฟเซ็ต Y,Ofset Y,Offset Y,Odsadenie Y
MainMenu.Editor.LayerType.Model,Model,模型,模型,Modell,Modelo,Modèle,Modell,モデル,모델,Модель,Modelo,Модель,Modello,แบบอย่าง,Modeli,Modell,Model
MainMenu.Editor.LayerType.Image,Image,图像,影像,Bild,Imagen,Image,Kép,画像,영상,Изображение,Imagem,Зображення,Immagine,ภาพ,Resim,Bild,Obrázok
MainMenu.Editor.LayerType.Text,Text,文本,文字,Text,Texto,Texte,Szöveg,文章,텍스트,Текст,Texto,текст,Testo,ข้อความ,Metin,Text,Text
MainMenu.Editor.Playback,Playback,播放,回放,Wiedergabe,Reproducción,Lecture,Lejátszás,再生,재생,Воспроизведение,Reprodução,Відтворення,Riproduzione,การเล่น,Playback,Uppspelning,Prehrávanie
MainMenu.Editor.SceneList,Scene List,场景列表,場景列表,Szenenliste,Lista de escenas,Liste des scènes,Jelenetek listája,シーンリスト,장면 목록,Список сцен,Lista de cenas,Список сцен,Elenco delle scene,รายการฉาก,Sahne Listesi,Scenlista,Zoznam scén
MainMenu.Editor.Scenes,Scenes,场景,場景,Szenen,Escenas,Scènes,Jelenetek,シーン,장면,Сцены,Cenas,Сцени,Scene,ฉาก,Sahneler,Scener,Scény
MainMenu.Editor.ExportAllScenes,Export All Scenes,导出所有场景,匯出所有場景,Alle Szenen exportieren,Exportar todas las escenas,Exporter toutes les scènes,Minden jelenet exportálása,すべてのシーンをエクスポート,모든 장면 내보내기,Экспортировать все сцены,Exportar todas as cenas,Експортувати всі сцени,Esporta tutte le scene,ส่งออกฉากทั้งหมด,Tüm Sahneleri Dışa Aktar,Exportera alla scener,Exportovať všetky scény
MainMenu.Editor.SceneListExport.Title,Exporting scene list,导出场景列表,匯出場景列表,Szenenliste exportieren,Exportar lista de escenas,Exportation de la liste des scènes,Jelenetlista exportálása,シーンリストをエクスポートする,장면 목록 내보내기,Экспорт списка сцен,Exportando lista de cenas,Експорт списку сцен,Esportazione dell'elenco delle scene,กำลังส่งออกรายการฉาก,Sahne listesini dışa aktarma,Exporterar scenlista,Export zoznamu scén
MainMenu.Editor.SceneListExport.Preparing,Preparing export...,正在准备导出...,正在準備匯出...,Export wird vorbereitet...,Preparando exportación...,Préparation de l'exportation...,Exportálás előkészítése...,エクスポートを準備しています...,내보내기 준비 중...,Подготовка экспорта...,Preparando exportação...,Підготовка експорту...,Preparazione dell'esportazione...,กำลังเตรียมการส่งออก...,Dışa aktarım hazırlanıyor...,Förbereder export...,Pripravuje sa export...
MainMenu.Editor.SceneListExport.Progress,Exporting {0}/{1}: {2},导出 {0}/{1}：{2},導出 {0}/{1}：{2},Exportieren von {0}/{1}: {2},Exportando {0}/{1}: {2},Exportation de {0}/{1} : {2},Exportálás: {0}/{1}: {2},{0}/{1} をエクスポートしています: {2},{0}/{1} 내보내기: {2},Экспорт {0}/{1}: {2},Exportando {0}/{1}: {2},Експорт {0}/{1}: {2},Esportazione {0}/{1}: {2},กำลังส่งออก {0}/{1}: {2},{0}/{1} dışa aktarılıyor: {2},Exporterar {0}/{1}: {2},Exportuje sa {0}/{1}: {2}
MainMenu.Editor.SceneListExport.Failed,Export failed,导出失败,匯出失敗,Der Export ist fehlgeschlagen,Exportación fallida,Échec de l'exportation,Nem sikerült exportálni,エクスポートに失敗しました,내보내기 실패,Экспорт не удался,Falha na exportação,Помилка експорту,Esportazione non riuscita,การส่งออกล้มเหลว,Dışa aktarma başarısız oldu,Exporten misslyckades,Export zlyhal
MainMenu.Editor.SceneListExport.Finished,Export finished,导出完成,匯出完成,Export abgeschlossen,Exportación finalizada,Exportation terminée,Az exportálás befejeződött,エクスポートが完了しました,수출 완료,Экспорт завершен,Exportação concluída,Експорт завершено,Esportazione terminata,ส่งออกเสร็จแล้ว,Dışa aktarma tamamlandı,Exporten avslutad,Export dokončený
MainMenu.Editor.SceneListExport.Cancelled,Export cancelled,导出取消,出口取消,Export abgebrochen,Exportación cancelada,Exportation annulée,Exportálás megszakítva,エクスポートがキャンセルされました,내보내기가 취소되었습니다.,Экспорт отменен,Exportação cancelada,Експорт скасовано,Esportazione annullata,ยกเลิกการส่งออกแล้ว,Dışa aktarma iptal edildi,Exporten avbröts,Export bol zrušený
MainMenu.Editor.SceneListExport.Complete,Export complete,导出完成,匯出完成,Export abgeschlossen,Exportación completa,Exportation terminée,Az exportálás befejeződött,エクスポートが完了しました,내보내기 완료,Экспорт завершен,Exportação concluída,Експорт завершено,Esportazione completata,ส่งออกเสร็จสมบูรณ์,Dışa aktarma tamamlandı,Exporten klar,Export dokončený
MainMenu.Editor.SceneListExport.CompleteExclamation,Export complete!,导出完成！,匯出完成！,Export abgeschlossen!,¡Exportación completa!,Exportation terminée !,Az exportálás befejeződött!,エクスポートが完了しました！,내보내기 완료!,Экспорт завершен!,Exportação concluída!,Експорт завершено!,Esportazione completata!,ส่งออกเสร็จแล้ว!,Dışa aktarma tamamlandı!,Exporten klar!,Export dokončený!
MainMenu.Editor.SceneListExport.CancelledSummary,"Export cancelled ({0}/{1} exported, {2} failed).",导出已取消（已导出 {0}/{1}，{2} 失败）。,匯出已取消（已匯出 {0}/{1}，{2} 失敗）。,"Export abgebrochen ({0}/{1} exportiert, {2} fehlgeschlagen).","Exportación cancelada ({0}/{1} exportada, {2} fallida).","Exportation annulée ({0}/{1} exportés, {2} a échoué).","Exportálás megszakítva ({0}/{1} exportálva, {2} sikertelen).",エクスポートがキャンセルされました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,"내보내기가 취소되었습니다({0}/{1} 내보내기, {2} 실패).","Экспорт отменен (экспортировано: {0}/{1}, {2} не удалось).","Exportação cancelada ({0}/{1} exportada, {2} falhou).","Експорт скасовано ({0}/{1} експортовано, {2} не вдалося).","Esportazione annullata ({0}/{1} esportata, {2} non riuscita).","การส่งออกถูกยกเลิก (ส่งออกแล้ว {0}/{1}, {2} ล้มเหลว)","Dışa aktarma iptal edildi ({0}/{1} dışa aktarıldı, {2} başarısız oldu).","Exporten avbröts ({0}/{1} exporterade, {2} misslyckades).","Export bol zrušený (exportované: {0}/{1}, zlyhalo: {2})."
MainMenu.Editor.SceneListExport.CancelledWithFailures,"Export complete ({0}/{1} exported, {2} failed).",导出完成（已导出 {0}/{1}，{2} 失败）。,匯出完成（已匯出 {0}/{1}，{2} 失敗）。,"Export abgeschlossen ({0}/{1} exportiert, {2} fehlgeschlagen).","Exportación completa ({0}/{1} exportada, {2} falló).","Exportation terminée ({0}/{1} exportés, {2} a échoué).","Az exportálás befejeződött ({0}/{1} exportálva, {2} sikertelen).",エクスポートが完了しました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,"내보내기가 완료되었습니다({0}/{1} 내보내기, {2} 실패).","Экспорт завершен (экспортировано: {0}/{1}, {2} не удалось).","Exportação concluída ({0}/{1} exportada, {2} falhou).","Експорт завершено ({0}/{1} експортовано, {2} не вдалося).","Esportazione completata ({0}/{1} esportata, {2} non riuscita).","การส่งออกเสร็จสมบูรณ์ (ส่งออกแล้ว {0}/{1}, {2} ล้มเหลว)","Dışa aktarma tamamlandı ({0}/{1} dışa aktarıldı, {2} başarısız oldu).","Exporten slutförd ({0}/{1} exporterad, {2} misslyckades).","Export je dokončený (exportované: {0}/{1}, zlyhalo: {2})."
MainMenu.Editor.SceneListExport.CompleteWithFailures,"Export complete ({0}/{1} exported, {2} failed).",导出完成（已导出 {0}/{1}，{2} 失败）。,匯出完成（已匯出 {0}/{1}，{2} 失敗）。,"Export abgeschlossen ({0}/{1} exportiert, {2} fehlgeschlagen).","Exportación completa ({0}/{1} exportada, {2} falló).","Exportation terminée ({0}/{1} exportés, {2} a échoué).","Az exportálás befejeződött ({0}/{1} exportálva, {2} sikertelen).",エクスポートが完了しました ({0}/{1} がエクスポートされました、{2} が失敗しました)。,"내보내기가 완료되었습니다({0}/{1} 내보내기, {2} 실패).","Экспорт завершен (экспортировано: {0}/{1}, {2} не удалось).","Exportação concluída ({0}/{1} exportada, {2} falhou).","Експорт завершено ({0}/{1} експортовано, {2} не вдалося).","Esportazione completata ({0}/{1} esportata, {2} non riuscita).","การส่งออกเสร็จสมบูรณ์ (ส่งออกแล้ว {0}/{1}, {2} ล้มเหลว)","Dışa aktarma tamamlandı ({0}/{1} dışa aktarıldı, {2} başarısız oldu).","Exporten slutförd ({0}/{1} exporterad, {2} misslyckades).","Export je dokončený (exportované: {0}/{1}, zlyhalo: {2})."
MainMenu.Editor.SceneListExport.ErrorMessage,Error: {0},错误：{0},錯誤：{0},Fehler: {0},Error: {0},Erreur : {0},Hiba: {0},エラー: {0},오류: {0},Ошибка: {0},Erro: {0},Помилка: {0},Errore: {0},ข้อผิดพลาด: {0},Hata: {0},Fel: {0},Chyba: {0}
MainMenu.Editor.OpenExportLocation,Open Export Location,打开导出位置,打開匯出位置,Öffnen Sie den Exportspeicherort,Abrir ubicación de exportación,Ouvrir l'emplacement d'exportation,Nyissa meg az Exportálási hely lehetőséget,エクスポート場所を開く,내보내기 위치 열기,Открыть папку экспорта,Abrir local de exportação,Відкрийте розташування експорту,Apri posizione di esportazione,เปิดสถานที่ส่งออก,Dışa Aktarma Konumunu Aç,Öppna Exportplats,Otvorte miesto exportu
MainMenu.Editor.CameraProperties,Camera Properties,相机属性,相機屬性,Kameraeigenschaften,Propiedades de la cámara,Propriétés de la caméra,Kamera tulajdonságai,カメラのプロパティ,카메라 속성,Свойства камеры,Propriedades da câmera,Властивості камери,Proprietà della fotocamera,คุณสมบัติกล้อง,Kamera Özellikleri,Kameraegenskaper,Vlastnosti fotoaparátu
MainMenu.Editor.CameraProperty.PositionX,Position X,位置 X,位置 X,Position X,Posición X,Poste X,X pozíció,位置X,위치 X,Позиция X,Posição X,Позиція X,Posizione X,ตำแหน่ง X,Konum X,Position X,Pozícia X
MainMenu.Editor.CameraProperty.PositionY,Position Y,位置 Y,位置 Y,Position Y,Posición Y,Poste Y,Y pozíció,位置Y,위치 Y,Позиция Y,Posição Y,Позиція Y,Posizione Y,ตำแหน่ง Y,Y Konumu,Position Y,Pozícia Y
MainMenu.Editor.CameraProperty.Size,Size,尺寸,尺寸,Größe,Tamaño,Taille,Méret,サイズ,크기,Размер,Tamanho,Розмір,Misurare,ขนาด,Boyut,Storlek,Veľkosť
MainMenu.Editor.CameraProperty.Rotation,Rotation,旋转,旋轉,Drehung,Rotación,Rotation,Forgás,回転,회전,Вращение,Rotação,Обертання,Rotazione,การหมุน,Döndürme,Rotation,Rotácia
MainMenu.Editor.ModelProperty.Mirror,Mirror,镜像,鏡子,Spiegel,Espejo,Miroir,Tükör,鏡,거울,Зеркало,Espelho,Дзеркало,Specchio,กระจกเงา,Ayna,Spegel,Zrkadlo
MainMenu.Editor.ModelProperty.Outline,Outline,边缘线,大綱,Gliederung,Describir,Contour,Vázlat,概要,개요,Контур,Contorno,Контур,Contorno,โครงร่าง,Taslak,Skissera,Obrys
MainMenu.Editor.ModelProperty.OutlineThickness,Thickness,粗细,厚度,Dicke,Espesor,Épaisseur,Vastagság,厚さ,두께,Толщина,Grossura,Товщина,Spessore,ความหนา,Kalınlık,Tjocklek,Hrúbka
MainMenu.Settings.ExportSettings.Quality,Quality,质量,品質,Qualität,Calidad,Qualité,Minőség,品質,품질,Качество,Qualidade,якість,Qualità,Quality,Kalite,Kvalitet,Kvalita
MainMenu.Settings.ExportSettings.LoopCount,Loop Count,循环次数,循環計數,Schleifenanzahl,Conteo de bucles,Nombre de boucles,Loop Count,ループ数,루프 수,Количество циклов,Contagem de loops,Підрахунок циклу,Conteggio dei cicli,จำนวนลูป,Döngü Sayısı,Loop Count,Počet slučiek
MainMenu.Settings.ExportSettings.Lossless,Lossless,无损,無損,Verlustfrei,Sin pérdidas,Sans perte,Veszteségmentes,ロスレス,무손실,без потерь,Sem perdas,Без втрат,Senza perdite,ไม่มีการสูญเสีย,Kayıpsız,Förlustfri,Bezstratový
